,,予算枠,残枠,優先順位,性別,年齢上限,求める資格[テキスト],都道府県,市区町村,最寄り駅,（上部）給与形態例下限,社名,URL,/previewなし,業種,職種,タイトル,仕事内容キャッチ,寮完備,寮費,雇用形態,案件ID,仕事No.,企業ID
FALSE,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,,3,男性,54,〇54歳までの男性活躍中！<B>■製造の経験者<B>■基本的なパソコン操作の経験者<B>■明るく元気に挨拶できる方,新潟県,妙高市,【最寄り駅】<B>妙高はねうまライン『北新井駅』<B>→車で3分、徒歩10分<B><B>【交通手段】<B>車、電車、徒歩,23.4,トリプルエース株式会社,https://job-con.jp/detail/preview/133/804721,https://job-con.jp/detail/133/804721,半導体・電子,組立・組付け・機械オペレーター・塗装,"即入寮OK！寮費補助40,000円！電子部品の取り換えや顕微鏡での検査、たったこれだけ★【3勤3休】",電子部品の組立・検査/2交替制/3勤3休/入社日に2万円支給/新潟県妙高市<B><B>■組立<B>電子部品の取り換え作業を行います。<B>「部品を取り外す」→「部品を取り付ける」<B>作業はたったこれだけ！<B><B>■検査<B>目視や顕微鏡などを使い、<B>半導体の元となる製品の<B>金属バリ（突起）などをチェックします！<B><B>そのほか、パソコンでの<B>簡単な入力作業もお任せします◎<B><B>基本的にクリーンルーム内での座り仕事！<B>かんたん作業で覚えやすく、<B>どなたでもご活躍していただけます◎,1,,派遣社員,804721,a00abk_01a,133
FALSE,,,,3,不問,49,〇40代までの男女活躍中！<B>工場、製造業のお仕事が初めての方も大歓迎！<B>実際に未経験からスタートした方が活躍している職場です！<B><B>【歓迎】<B>■未経験スタートOK<B>■フォークリフト・天井クレーン資格保有者,三重県,桑名市,【最寄り駅】<B>三岐鉄道『穴太駅・山城駅』<B>→車で5分ほど<B><B>【交通手段】<B>車、バイク、送迎バス(穴太駅から出発)<B><B>【通勤目安】<B>寮→穴太駅→送迎バス（計1時間ほど）,30.8,トリプルエース株式会社,https://job-con.jp/detail/preview/133/804722,https://job-con.jp/detail/133/804722,自動車・部品・バイク,組立・組付け・機械オペレーター・塗装,"即入寮OK！《皆勤手当50,000円》機械のスイッチを押すだけで製品完成♪【車のタイヤ製造スタッフ】",自動車部品の製造/2交代制/入社日に2万円支給/三重県桑名市<B><B>↓具体的には…↓<B>【1】<B>数種類のゴム原料が入った<B>機械のボタンを押す！<B>あとは機械が自動で混ぜてくれるので<B>作業が終わるまで見守っていればOK♪<B><B>【2】<B>混ぜた原料に不純物の混入がないか確認！<B><B>【3】<B>タイヤに傷がないか目で検査！<B>また、焼き上げていく工程があります。<B>※タイヤは10kgほどの重量あり<B><B>＼資格や免許が活かせる部署もあり！／<B>天井クレーン、フォークリフト免許を<B>お持ちの方は出荷作業をお願いします！<B>ぜひお気軽にご相談ください！,1,,派遣社員,804722,a00avw_01a,133
FALSE,,,,3,不問,49,〇40代までの男女活躍中！<B>工場、製造業のお仕事が初めての方も大歓迎！<B>実際に未経験からスタートした方が活躍している職場です！,三重県,いなべ市,【最寄り駅】<B>三岐鉄道 北勢線『麻生田駅』<B>→車で10分ほど<B><B>【交通手段】<B>車、バイク、自転車、無料送迎<B>※時間帯の都合で電車は不可,39.4,トリプルエース株式会社,https://job-con.jp/detail/preview/133/804725,https://job-con.jp/detail/133/804725,自動車・部品・バイク,組立・組付け・機械オペレーター・塗装,即入寮OK！面接から最短2日で入社可能！即入寮OKで、すぐにでも働けます【自動車のボディ製造】,自動車のボディ製造/2交替制/即日入寮可/入社日に2万円支給/三重県いなべ市<B><B>適性を見て各部署に配属されます。<B><B>☆どの作業も1人で全て行うことはありません<B>☆先輩スタッフも全力サポートします<B><B>事前の研修も4日間ほどしっかり行うので、<B>未経験で作業を始める方も安心！<B><B>▼ 各部署はコチラ ▼<B>【プレス】<B>・銅板ロールを裁断機に入れ、<B>　基準の大きさに切断<B>・切断した銅板をプレス機で成形<B><B>【ボデー溶接】<B>・部品を自動溶接機で成形<B>・機械で部品取り付け<B>・手作業で目視検査<B><B>【塗装】<B>・塗装前の部品洗浄<B>・手作業でのスプレー塗装<B>・ロボットアームでの機械塗装<B>・乾燥後の塗装面のチェック<B><B>【組立】<B>・各部品の組立や配線<B>→締め付け器具、インパクトドライバー使用<B>→機械補助あり<B><B>【検査】<B>・目視や検査機で各種チェック<B>→完成車の内外装に誤品や欠品がないか<B>→キズや動作に問題がないか<B>→使用時の異音がないか<B><B>【運搬】<B>・ライン作業に必要な部品の運搬や供給<B>・小物部品の組付け,1,,派遣社員,804725,a00acc_01a,133
FALSE,,,,3,不問,49,〇40代までの男女活躍中！<B>工場、製造業のお仕事が初めての方も大歓迎！<B>実際に未経験からスタートした方が活躍している職場です！,愛知県,豊田市,【最寄り駅】<B>名鉄三河線『若林駅・三河八橋駅』<B>→車5分、徒歩30分ほど<B><B>【交通手段】<B>車・バイク<B>→伊勢湾岸自動車道　豊田南ICから車で10分,37,トリプルエース株式会社,https://job-con.jp/detail/preview/133/804726,https://job-con.jp/detail/133/804726,自動車・部品・バイク,組立・組付け・機械オペレーター・塗装,即入寮OK！＼お財布も生活も豊かに／入社祝金60万円★年収400万円以上可【自動車のボディ製造】,人気SUV自動車のボディ製造/2交替制/入社日に2万円支給/愛知県豊田市<B><B>適性を見て各部署に配属されます。<B><B>☆どの作業も1人で全て行うことはありません<B>☆先輩スタッフも全力サポートします<B><B>事前の研修も4日間ほどしっかり行うので、<B>未経験で作業を始める方も安心！<B><B>▼ 各部署はコチラ ▼<B>【プレス】<B>・銅板ロールを裁断機に入れ、<B>　基準の大きさに切断<B>・切断した銅板をプレス機で成形<B><B>【ボデー溶接】<B>・部品を自動溶接機で成形<B>・機械で部品取り付け<B>・手作業で目視検査<B><B>【塗装】<B>・塗装前の部品洗浄<B>・手作業でのスプレー塗装<B>・ロボットアームでの機械塗装<B>・乾燥後の塗装面のチェック<B><B>【組立】<B>・各部品の組立や配線<B>→締め付け器具、インパクトドライバー使用<B>→機械補助あり<B><B>【検査】<B>・目視や検査機で各種チェック<B>→完成車の内外装に誤品や欠品がないか<B>→キズや動作に問題がないか<B>→使用時の異音がないか<B><B>【運搬】<B>・ライン作業に必要な部品の運搬・供給<B>・小物部品の組付け,1,,派遣社員,804726,a00apg_01a,133
FALSE,,,,3,不問,49,〇40代までの男女活躍中！<B>工場、製造業のお仕事が初めての方も大歓迎！<B>実際に未経験からスタートした方が活躍している職場です！,熊本県,菊池郡大津町,【最寄り駅】<B>JR豊肥本線『肥後大津駅』<B>→車で10分ほど<B><B>【交通手段】<B>■車（無料駐車場完備）<B>■送迎バス（肥後大津駅から）,29.7,トリプルエース株式会社,https://job-con.jp/detail/preview/133/804727,https://job-con.jp/detail/133/804727,半導体・電子,組立・組付け・機械オペレーター・塗装,即入寮OK！「体力がない？でも大丈夫！」かる～い部品の組み付け作業！【電子部品の組立】,かる～い電子部品の組立/日勤専属/入社日に2万円支給/熊本県菊池郡大津町<B><B>半導体工場のクリーンルーム内にて<B>電子部品の組立て作業をお願いします！<B><B>手作業や手動ドライバーを使い、<B>マニュアルを見ながら順番通りに<B>パーツを組み立てていくので<B>完成した時の達成感はたまりません♪<B><B>他にも組み立てるパーツの補充作業や、<B>イスに座って部品の検品なども行います！<B><B>・プラモデル作りが好き<B>・ハンドメイドが好き<B>・DIYが趣味<B>そんな方は必見のお仕事です★<B><B>≪未経験者も大歓迎！≫<B>実技だけでなく座学も学べる<B>研修が2週間程度あります！<B><B>教育制度がバッチリ整っているので<B>未経験でも安心してスタートできますよ！<B>※期間中の待遇変動は無し,1,,派遣社員,804727,a00avv_01a,133
FALSE,,,,3,不問,54,〇54歳までの男女活躍中！<B>工場、製造業のお仕事が初めての方も大歓迎！<B>実際に未経験からスタートした方が活躍している職場です！,新潟県,糸魚川市,【最寄り駅】<B>JR西日本『青海駅』『糸魚川駅』<B>→車で10～15分ほど<B><B>【交通手段】<B>車,22.3,トリプルエース株式会社,https://job-con.jp/detail/preview/133/804728,https://job-con.jp/detail/133/804728,機械・金属・鉄鋼,倉庫作業員,《即入寮OK・残業ほぼナシ》幅広い世代のスタッフ活躍中♪【ドラム缶の梱包・シール貼り/リフト運搬】,ドラム缶の梱包・シール貼り・リフト運搬/日勤専属/入社日に2万円支給/新潟県糸魚川市<B><B>お願いするお仕事は<B>梱包作業＆シール貼りです！<B><B>具体的には・・・<B>【1】<B>カーバイト(石の塊)が充填された<B>ドラム缶に蓋をかぶせ、<B>真空にするための器具を取付け。<B>↓<B>【2】<B>ドラム缶にシールを貼り付け。<B><B>他には空のドラム缶を<B>自動機にセットする作業もあります。<B><B>※作業中はヘルメットと防塵マスクを装着します<B>※リフト免許をお持ちの方は優遇します,1,,派遣社員,804728,a00all_01a,133
FALSE,,,,3,不問,39,〇30代までの男女活躍中！<B>工場、製造業のお仕事が初めての方も大歓迎！<B>実際に未経験からスタートした方が活躍している職場です！,滋賀県,蒲生郡竜王町,【最寄り駅】<B>■JR西日本『三雲駅』<B>■近江鉄道『桜川駅』<B>→車で16分ほど<B><B>【交通手段】<B>車、バイク、徒歩,37.6,トリプルエース株式会社,https://job-con.jp/detail/preview/133/804729,https://job-con.jp/detail/133/804729,自動車・部品・バイク,組立・組付け・機械オペレーター・塗装,"即入寮OK！未経験でも稼げる時給1,650円！20代～40代も活躍中☆彡【車の部品製造】",車の部品製造/2交替制/入社日に2万円支給/滋賀県蒲生郡竜王町<B><B>部品を機械にセットしてボタンを押したり、<B>ドライバーなどの工具を使って<B>部品を組み立てていきます。<B><B>複数名で作業を行います。<B><B>20～40代前半の男性が多く活躍中で、<B>≪未経験スタート≫も応援◎<B>リーダーが上手にお仕事をお伝えします◎,1,,派遣社員,804729,a00aay_01a,133
FALSE,,,,3,不問,49,〇40代までの男女活躍中！<B>工場、製造業のお仕事が初めての方も大歓迎！<B>実際に未経験からスタートした方が活躍している職場です！,三重県,津市,【最寄り駅】<B>近鉄　名古屋線「久居駅」　車で12分ほど<B><B>【交通手段】<B>車、バイク、自転車、徒歩、電車,38.4,トリプルエース株式会社,https://job-con.jp/detail/preview/133/804732,https://job-con.jp/detail/133/804732,機械・金属・鉄鋼,プレス・加工・研磨,食堂でも工場周辺でも麺を楽しめる！【エンジン部品の加工】,自動車エンジン部品の加工/シフト制/入社日に2万円支給/新潟県上越市<B><B>【 お仕事内容 】<B>自動車エンジンのギア・シャフトなどを<B>加工する作業がメインとなります。<B><B>機械を操作して部品を加工する、<B>機械オペレーターのお仕事です。,1,,派遣社員,804732,a00ara_01a,133
FALSE,,,,3,不問,49,〇40代までの男女活躍中！<B>工場、製造業のお仕事が初めての方も大歓迎！<B>実際に未経験からスタートした方が活躍している職場です！,新潟県,上越市,【最寄り駅】<B>JR東日本 信越本線『黒井駅』<B>⇒車で5分、徒歩20分～30分ほど<B><B>【交通手段】<B>車、送迎タクシー<B><B>※お車をお持ちでない方は<B>　寮からタクシーでの送迎となります,30.7,トリプルエース株式会社,https://job-con.jp/detail/preview/133/804733,https://job-con.jp/detail/133/804733,半導体・電子,軽作業・検査・ピッキング,面接後、”即日”入寮OK！寮費補助ありで実質寮費無料！軽作業でも月収例30万円の電子部品検査！,電子部品の検査/4勤2休/2交替/入社日に2万円支給/新潟県上越市<B><B>クリーンルーム内にて<B>検査の作業をメインでお任せします。<B><B>～作業の流れ～<B>【1】<B>製造ラインにて、<B>製品の外観、寸法、機能などの<B>各種パラメーターを検査します。<B><B>【2】<B>検査の結果を適切に記録したり、<B>報告書を作成します。<B><B>【3】<B>製品の不具合を特定、分類し、<B>不良品を処理します。,1,,派遣社員,804733,a00art_01a,133
